################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.8647972406956310E+01 a       379     0    13     1    19
 -8.9644996942470492E+00 a       380     0    13     1    20
  3.8256913301611966E+00 a       381     0    13     1    21
  2.0761032819582404E+01 a       382     0    13     1    22
  6.0310683300486954E+00 a       383     0    13     1    23
 -1.5411706652823401E+01 a       384     0    13     1    24
 -5.3741096455474509E+00 a       385     0    13     1    25
  1.0583225202641806E+01 a       386     0    13     1    26
 -5.6014065776517405E+00 a       387     0    13     1    27
 -2.8363787082521863E+01 a       388     0    13     1    28
 -1.4349470046229429E+00 a       389     0    13     1    29
 -3.3327128946597386E+00 a       390     0    13     1    30
  1.2686486711503782E+01 a       391     0    14     1     1
 -1.0873721430737181E-01 a       392     0    14     1     2
 -1.1331130675148721E+01 a       393     0    14     1     3
 -1.8801591733550016E+01 a       394     0    14     1     4
 -1.3304608143342838E+01 a       395     0    14     1     5
  1.7165234068785420E+01 a       396     0    14     1     6
 -2.0583871984564794E+00 a       397     0    14     1     7
  2.6489217561377270E+01 a       398     0    14     1     8
 -1.1356152694726550E+01 a       399     0    14     1     9
  7.7183351367618798E+00 a       400     0    14     1    10
 -4.1901374786927699E+00 a       401     0    14     1    11
 -7.6314037365403076E-01 a       402     0    14     1    12
  1.2144323626431939E+01 a       403     0    14     1    13
  7.1329938081867867E+00 a       404     0    14     1    14
 -1.3076678258741453E+01 a       405     0    14     1    15
  6.8229525532021134E+00 a       406     0    14     1    16
 -1.3939097804142243E+01 a       407     0    14     1    17
  8.7825446233603053E+00 a       408     0    14     1    18
  2.3146522163726232E+01 a       409     0    14     1    19
 -1.4042255194493876E+01 a       410     0    14     1    20
  2.7806181117245932E-01 a       411     0    14     1    21
 -1.5534367360977983E+01 a       412     0    14     1    22
  5.7936831446576535E+00 a       413     0    14     1    23
  5.2339310466348508E+00 a       414     0    14     1    24
  4.4079091807416748E-01 a       415     0    14     1    25
  1.9443121802703789E+01 a       416     0    14     1    26
 -1.0456919328243353E+01 a       417     0    14     1    27
  2.1191210104918369E+01 a       418     0    14     1    28
  1.6549983221369530E+01 a       419     0    14     1    29
 -7.0211073137791873E+00 a       420     0    14     1    30
  6.0763254938657960E+00 a       421     0    15     1     1
 -2.0597765097257192E+00 a       422     0    15     1     2
 -2.7086904577607389E+00 a       423     0    15     1     3
 -1.0103315245272936E+01 a       424     0    15     1     4
  2.8425071184647335E+00 a       425     0    15     1     5
 -9.7097746060237056E-01 a       426     0    15     1     6
 -2.3384464886282768E+00 a       427     0    15     1     7
  4.8608970181468321E+00 a       428     0    15     1     8
 -1.1299616777446417E+01 a       429     0    15     1     9
 -4.6052474716114231E+00 a       430     0    15     1    10
 -2.1117593805250383E+00 a       431     0    15     1    11
  2.7078404099087852E+00 a       432     0    15     1    12
 -2.3706192406659798E-01 a       433     0    15     1    13
 -5.1030231478829391E+00 a       434     0    15     1    14
 -2.4419647427456792E+00 a       435     0    15     1    15
 -3.9667385754319495E+00 a       436     0    15     1    16
 -4.7551910249345077E+00 a       437     0    15     1    17
  1.9877617145771726E+01 a       438     0    15     1    18
  5.0951817368099706E+00 a       439     0    15     1    19
 -7.9845068250333481E-02 a       440     0    15     1    20
 -1.8973311879305443E+00 a       441     0    15     1    21
  5.1683950359588069E+00 a       442     0    15     1    22
  6.3217095924322830E-01 a       443     0    15     1    23
 -4.4692923699898106E+00 a       444     0    15     1    24
  4.2597695600377650E+00 a       445     0    15     1    25
 -4.2006567237451620E+00 a       446     0    15     1    26
 -2.1348134948126227E+00 a       447     0    15     1    27
  2.6253916700952087E+00 a       448     0    15     1    28
  3.3255578865643232E+00 a       449     0    15     1    29
 -1.8069274646549802E+00 a       450     0    15     1    30
 -1.5845901268902702E+01 a       451     0    16     1     1
  1.2557543336157346E+01 a       452     0    16     1     2
 -5.5357512505777136E+00 a       453     0    16     1     3
  6.1604428685435071E+00 a       454     0    16     1     4
  3.5421381862434482E+00 a       455     0    16     1     5
  5.4963655573127594E+00 a       456     0    16     1     6
  3.8983487376500352E+00 a       457     0    16     1     7
  1.5105981834965515E+01 a       458     0    16     1     8
 -3.5455329408247076E+00 a       459     0    16     1     9
 -9.9079447060242849E+00 a       460     0    16     1    10
 -5.1451071867447640E+00 a       461     0    16     1    11
 -1.3945190317734546E+00 a       462     0    16     1    12
  4.4492267052874110E+00 a       463     0    16     1    13
  6.4415018169485814E+00 a       464     0    16     1    14
 -1.0496983620273454E+01 a       465     0    16     1    15
  5.2459662012347694E+00 a       466     0    16     1    16
  6.4749146157951332E+00 a       467     0    16     1    17
  2.5445758901104281E+00 a       468     0    16     1    18
 -2.8798831824682644E+01 a       469     0    16     1    19
 -2.7304363243002152E+00 a       470     0    16     1    20
 -1.4968835334047217E+01 a       471     0    16     1    21
 -5.0241168821410565E+00 a       472     0    16     1    22
 -4.5825387516567204E+00 a       473     0    16     1    23
  7.1601466432661320E+00 a       474     0    16     1    24
  1.2827407590979067E+01 a       475     0    16     1    25
 -1.6985531304407150E+01 a       476     0    16     1    26
 -8.9514356460722340E+00 a       477     0    16     1    27
  4.6400606780513121E+00 a       478     0    16     1    28
 -8.6307852719516553E+00 a       479     0    16     1    29
 -1.1661839205239874E-02 a       480     0    16     1    30
  1.4192775875171941E+01 a       481     0    17     1     1
  1.4026202144979413E+01 a       482     0    17     1     2
 -5.1181978941427557E+00 a       483     0    17     1     3
  1.8999405268406480E+01 a       484     0    17     1     4
 -1.1748824626337466E+01 a       485     0    17     1     5
  1.0192337533752138E+01 a       486     0    17     1     6
  8.1903538437913537E-02 a       487     0    17     1     7
